h_score,gdp,familiy_size,life_expct,freedom,generosity,trust
7.5370001793,1.6164631844,1.5335235596,0.796666503,0.6354225874,0.3620122373,0.3159638345
7.521999836,1.4823830128,1.5511215925,0.7925655246,0.6260067225,0.3552804887,0.4007700682
7.5040001869,1.4806330204,1.610574007,0.8335521221,0.6271626353,0.4755402207,0.1535265595
7.493999958,1.5649795532,1.5169117451,0.8581312895,0.6200705767,0.2905492783,0.3670072854
7.4689998627,1.4435719252,1.5402467251,0.8091576695,0.6179508567,0.2454827726,0.3826115429
7.376999855,1.5039446354,1.4289392233,0.810696125,0.5853844881,0.4704898298,0.2826618254
7.3159999847,1.4792044163,1.4813489914,0.8345576525,0.6111009121,0.4355397224,0.2873715162
7.3140001297,1.405706048,1.5481951237,0.8167597055,0.6140621305,0.500005126,0.3828167021
7.2839999199,1.494387269,1.4781621695,0.8308751583,0.612924099,0.3853992522,0.3843987286
7.2839999199,1.4844149351,1.5100419521,0.8438867927,0.6016073823,0.47769925,0.3011837304
7.2129998207,1.3753824234,1.3762899637,0.8384039998,0.4059886038,0.330082655,0.0852421001
7.0789999962,1.1097062826,1.4164036512,0.7595092654,0.58013165,0.214613229,0.1001065895
7.006000042,1.4870972633,1.4599449635,0.8153284192,0.5677661896,0.3164723217,0.2210603654
6.9930000305,1.546259284,1.4199205637,0.7742866278,0.5057405233,0.3925787807,0.1356387883
6.9770002365,1.5357066393,1.5582311153,0.8097826242,0.573110342,0.4278583229,0.2983881533
6.9510002136,1.4879233837,1.4725203514,0.7989507318,0.5625113845,0.33626917,0.2767319381
6.890999794,1.4637807608,1.4623126984,0.8180918694,0.5397707224,0.2315033376,0.2513431311
6.8629999161,1.7419435978,1.4575836658,0.8450894952,0.5966278911,0.2831809819,0.318834424
6.7140002251,1.4416339397,1.4964600801,0.8053359389,0.5081900358,0.4927741587,0.2654280663
6.6519999504,1.2527846098,1.2840249538,0.8194797039,0.3768952787,0.3266624212,0.0822879821
6.6479997635,1.6263433695,1.2664102316,0.7267982364,0.6083452702,0.3609419465,0.3244895637
6.6350002289,1.1073532104,1.4313060045,0.6165523529,0.4374537468,0.1623498946,0.1110927612
6.609000206,1.3526823521,1.4338852167,0.7544440031,0.4909461737,0.0881067589,0.0368729271
