h_score,gdp
7.5370001793,1.6164631844
7.521999836,1.4823830128
7.5040001869,1.4806330204
7.493999958,1.5649795532
7.4689998627,1.4435719252
7.376999855,1.5039446354
7.3159999847,1.4792044163
7.3140001297,1.405706048
7.2839999199,1.494387269
7.2839999199,1.4844149351
7.2129998207,1.3753824234
7.0789999962,1.1097062826
7.006000042,1.4870972633
6.9930000305,1.546259284
6.9770002365,1.5357066393
6.9510002136,1.4879233837
6.890999794,1.4637807608
6.8629999161,1.7419435978
6.7140002251,1.4416339397
6.6519999504,1.2527846098
6.6479997635,1.6263433695
6.6350002289,1.1073532104
6.609000206,1.3526823521
6.5989999771,1.1852954626
6.5780000687,1.1531838179
6.5720000267,1.6922776699
6.5269999504,1.3432798386
6.4539999962,1.2175596952
6.4539999962,0.872001946
6.4520001411,1.233748436
6.4419999123,1.4309234619
6.4239997864,1.1278687716
6.4219999313,1.4336265326
6.4029998779,1.3843978643
6.375,1.870765686
6.3569998741,1.0706223249
6.3439998627,1.5306235552
6.1680002213,1.3613559008
6.1050000191,1.6329524517
6.0980000496,1.3253935575
6.0869998932,1.488412261
6.0840001106,1.2912154198
6.0710000992,0.7372992039
6.007999897,1.0008203983
6.0029997826,0.9097844958
5.9730000496,1.2917878628
5.9710001945,0.7864410877
5.9640002251,1.3950666189
5.9629998207,1.2817780972
5.9559998512,0.907975316
5.9200000763,1.4169151783
5.9019999504,1.3145823479
5.8720002174,1.0918644667
5.8499999046,1.2607486248
5.8379998207,1.401678443
5.8379998207,0.7288706303
5.8249998093,1.2176839113
5.8229999542,0.833756566
5.8220000267,1.130776763
5.8189997673,1.2845562696
5.8099999428,1.3469113111
5.757999897,1.3412059546
5.7150001526,1.0352252722
5.6290001869,1.1893955469
5.6209998131,1.355938077
5.611000061,1.3208793402
5.5689997673,1.15655756
5.5250000954,1.1018030643
5.5,1.198274374
5.4930000305,0.9325373173
5.4720001221,1.5516748428
5.4299998283,0.8576992154
5.3949999809,1.0693175793
5.3359999657,0.9910123944
5.3239998817,1.2860119343
5.3109998703,0.9255793095
5.2930002213,1.2225562334
5.2789998055,0.9514843822
5.2729997635,1.0811657906
5.2690000534,0.7268835306
5.2620000839,0.9955385923
5.25,1.128431201
5.2369999886,1.1211290359
5.2350001335,0.8781145811
5.234000206,1.1536017656
5.2300000191,1.0793738365
5.2270002365,1.2894874811
5.2249999046,1.0749875307
5.1950001717,1.3151752949
5.1820001602,0.9824094176
5.1810002327,0.7305731177
5.1750001907,1.0645779371
5.1510000229,0.0226431843
5.0739998817,0.7885475755
5.0739998817,0.7837562561
5.0409998894,0.5247136354
5.0110001564,0.8854163885
5.0040001869,0.5962200761
4.9619998932,0.4798201919
4.9549999237,1.0272358656
4.8289999962,1.0546987057
4.8049998283,1.0072658062
4.7750000954,0.7162492275
4.7350001335,0.9897018075
4.7140002251,1.1614590883
4.7090001106,0.3684209287
4.6950001717,0.5643053651
4.6919999123,1.156873107
4.6440000534,0.9961927533
4.6079998016,0.5866829753
4.5739998817,0.9644343257
4.5529999733,0.5604794621
4.5500001907,0.23430565
4.5450000763,0.3671105504
4.5349998474,0.4793090224
4.513999939,0.6364067793
4.4970002174,1.1027104855
4.4650001526,1.1982102394
4.4600000381,0.3392338455
4.4400000572,1.0098501444
4.3759999275,0.9005967379
4.3150000572,0.7922212481
4.2919998169,0.6484572887
4.2909998894,0.8089642525
4.2859997749,0.9506126642
4.2800002098,0.0921023488
4.1900000572,0.4761804938
4.1799998283,0.6030489206
4.1680002213,0.6017650962
4.138999939,0.6595166922
4.1199998856,0.6672248244
4.0960001945,0.8946519494
4.0809998512,0.3814307153
4.0320000648,0.3502277136
4.0279998779,0.1619253308
3.9700000286,0.2334420383
3.9360001087,0.4380129874
3.875,0.375846535
3.8080000877,0.5210212469
3.7950000763,0.8584281802
3.7939999104,0.4014772177
3.7660000324,1.1220941544
3.6570000648,0.4310854077
3.6440000534,0.3058086932
3.6029999256,0.3686102629
3.5929999352,0.5916834474
3.5910000801,0.3972486258
3.5329999924,0.119041793
3.5069999695,0.2445499301
3.4949998856,0.3054447174
3.4709999561,0.3687458932
3.4619998932,0.7771531343
3.3489999771,0.5111358762
2.9049999714,0.0916225687
2.6930000782,0
